key_raw	key_norm	in_pref	body_count	samples	flag	short_key	sources	expansion
Ag. Syst. or Ag. Syst. Anc. Ind.	Ag. Syst. or Ag. Syst. Anc. Ind.	1	0		pref_only	0	iegpref08.md:10	*Agrarian System of Ancient India* by U. N. Ghoshal.
*Appendix II*— Tax Names in Dravidian Languages	Appendix II— Tax Names in Dravidian Languages	1	0		pref_only	0	iegpref03.md:18	409—427
*Appendix I*— Privileges attached to Free Holdings	Appendix I— Privileges attached to Free Holdings	1	0		pref_only	0	iegpref03.md:17	388—408
Dravidian palatal alveolar &nbsp; n	Dravidian palatal alveolar &nbsp; n	1	0		pref_only	0	iegpref10.md:20	ṉ
Dravidian palatal alveolar &nbsp; r	Dravidian palatal alveolar &nbsp; r	1	0		pref_only	0	iegpref10.md:22	ṟ
Suc. Sāt. or Suc. Sāt. L. Dec.	Suc. Sāt. or Suc. Sāt. L. Dec.	1	0		pref_only	0	iegpref09.md:46	*The Successors of the Sātavāhanas in the Lower Deccan* by D. C. Sircar.
Carm. Lect.	Carm. Lect.	1	3	218,11838,44115	low_count	0	iegpref08.md:26	*The Carmichael Lecturers* delivered by D. R. Bhandarkar in 1918, 1921 and 1923.
G. O. S.	G. O. S.	1	3	182,226,22736	low_count	0	iegpref08.md:38	*Gaekwad Oriental Series*.
General Abbreviations	General Abbreviations	1	3	41,200,203	low_count	0	iegpref03.md:14	XIII—XIV
Mathura Ins.	Mathura Ins.	1	3	253,23926,24040	low_count	0	iegpref09.md:26	*Mathura Inscriptions* by H. Lüders, edited by K. L. Janert.
Naik's List	Naik's List	1	3	258,14334,18484	low_count	0	iegpref09.md:30	*Inscriptions of the Deccan* by A. V. Naik, published in the *Bulletin of the Deccan College Post-Graduate and Research Institute*, Poona, Vol. IX, 1947-48.
Preface	Preface	1	3	39,55,58	low_count	0	iegpref03.md:12	IX—X
Proc. IHC	Proc. IHC	1	3	8865,8869,15544	low_count	0	iegpref09.md:34	*Proceedings of the Indian History Congress*.
Stud. Geog. Anc. Med. Ind.	Stud. Geog. Anc. Med. Ind.	1	3	5035,8921,11181	low_count	0	iegpref09.md:44	*Studies in the Geography of Ancient and Medieval India* by D. C. Sircar.
System of Transliteration	System of Transliteration	1	3	42,285,287	low_count	0	iegpref03.md:15	XV
Viṣṇu Dh. S.	Viṣṇu Dh. S.	1	3	279,716,21865	low_count	0	iegpref09.md:50	*Viṣṇu Dharmasūtra*.
Addenda et Corrigenda	Addenda et Corrigenda	1	2	51,43987	low_count	0	iegpref03.md:21	556—560
Bul. Dec. Col. Res. Inst.	Bul. Dec. Col. Res. Inst.	1	2	216,26320	low_count	0	iegpref08.md:24	*Bulletin of the Deccan College Post-Graduate and Research Institute*, Poona.
DHNI	DHNI	1	2	221,6356	low_count	0	iegpref08.md:30	*Dynastic History of Northern India* by H. C. Ray.
Hist. Asp. Ins. Beng.	Hist. Asp. Ins. Beng.	1	2	227,18663	low_count	0	iegpref08.md:40	*Historical Aspects of the Inscriptions of Bengal* by B. C. Sen.
Imp. Ins. Bar. St.	Imp. Ins. Bar. St.	1	2	233,22828	low_count	0	iegpref08.md:50	*Important Inscriptions from the Baroda State* edited by A. S. Gadre and others.
Ind. Cult.	Ind. Cult.	1	2	236,22356	low_count	0	iegpref08.md:54	*Indian Culture*.
Proc. IHRC	Proc. IHRC	1	2	265,6801	low_count	0	iegpref09.md:36	*Proceedings of the Indian Historical Records Commission*.
Univ. Cey. Rev.	Univ. Cey. Rev.	1	2	278,6878	low_count	0	iegpref09.md:48	*University of Ceylon Review*.
Nach. Akad. Wissen. Goetting.	Nach. Akad. Wissen. Goetting.	1	1	16315	low_count	0	iegpref09.md:28	*Nachrichten der Akademie der Wissenschaften in Goettingen*.
Prog. Rep. ASI, WC	Prog. Rep. ASI, WC	1	1	267	low_count	0	iegpref09.md:38	*Progress Report of the Archaeological Survey of India, Western Circle*.
Z. D. M. G.	Z. D. M. G.	1	1	282	low_count	0	iegpref09.md:54	*Zeitschrift der Morgenländischen Gesellschaft*.
anusvāra	anusvāra	1	1	298	low_count	0	iegpref10.md:28	= ṁ
jihvāmūlīya	jihvāmūlīya	1	1	299	low_count	0	iegpref10.md:29	= ḣ
upadhmānīya	upadhmānīya	1	1	299	low_count	0	iegpref10.md:29	= ẖ
visarga	visarga	1	1	298	low_count	0	iegpref10.md:28	= ḥ
HA	HA	1	11942	9,15,16	short_key	1	iegpref06.md:22	*Holy Abu* by Muni Jayantavijaya, translated by U.P. Shah, pp. 198-204 (Glossary).
EI	EI	1	3752	13,49,75	short_key	1	iegpref06.md:20	*Epigraphia Indica*; e. g., EI 1=*Epigraphia Indica*, Volume I, pp. 461-78 (Index); EI 2, 6, 12=Indices to *Epigraphia Indica*, Volumes II, VI and XII.
LL	LL	1	3112	61,63,66	short_key	1	iegpref07.md:12	Lüders' List=*A List of Brāhmī Inscriptions* by H. Lüders, Appendix to the *Epigraphia Indica*, Volume X, pp. 213-24 (Index).
IE	IE	1	2618	1,9,75	short_key	1	iegpref06.md:30	*Indian Epigraphy* by D.C. Sircar; e.g., IE 8-2=*Indian Epigraphy*, Chapter VIII, Section ii; IE 7-1-2=*Indian Epigraphy*, Chapter VII, Section i, Subsection 2.
IA	IA	1	1800	6,10,20	short_key	1	iegpref06.md:28	*Indian Antiquary*; e.g., IA 5=*Indian Antiquary*, Volume V, pp. 363-71 (Index); IA 8, 15, 20=Indices to *Indian Antiquary*, Volumes VIII, XV and XX.
BL	BL	1	1557	21,66,67	short_key	1	iegpref06.md:12	Bhandarkar's List=*A List of Inscriptions of Northern India in Brāhmī and its Derivative Scripts from about 200 A. C.* by D. R. Bhandarkar, Appendix to the *Epigraphia Indica*, Volumes XIX-XXIII, pp. 
LP	LP	1	694	78,182,318	short_key	1	iegpref07.md:14	*Lekhapaddhati*, G. O. S., No. XXI, pp. 97-128 (Glossary).
HD	HD	1	327	166,229,431	short_key	1	iegpref06.md:24	*History of Dharmaśāstra* by P.V. Kane, Volume III, pp. 975-1007 (Glossary styled 'Appendix-Note 191').
ML	ML	1	92	184,538,669	short_key	1	iegpref07.md:16	Majumdar's List=*A List of Kharoṣṭhī Inscriptions* by N. G. Majumdar in the *Journal of the Asiatic Society of Bengal*, New Series, Vol. XX, 1924, pp. 35-39 (Index).
SITI	SITI	1	1112	196,347,359		0	iegpref07.md:22	*South Indian Temple Inscriptions* by T. N. Subramanian, Volume III, Part ii, pp. i-civ (Glossary in an 'Annexure' at the end of the volume).
CII	CII	1	1054	154,154,156		0	iegpref06.md:16	*Corpus Inscriptionum Indicarum*; e. g., CII 2-1=*Corpus Inscriptionum Indicarum*, Volume II, Part i, pp. 181-85 (Index); CII 3, 4=Indices to *Corpus Inscriptionum Indicarum*, Volumes III and IV.
SII	SII	1	414	190,190,191		0	iegpref07.md:20	*South Indian Inscriptions*; e.g., SII 1=*South Indian Inscriptions*, Volume I, pp. 171-83 (Index); SII 11-2=*South Indian Inscriptions*, Volume XI, Part ii, pp. 267-72 (Index) ; SII I, 3, 12-2=Indice
ASLV	ASLV	1	200	145,736,1181		0	iegpref06.md:10	*Administration and Social Life under Vijayanagara* by T. V. Mahalingam, pp. 418-76 (Index).
