dict	key_norm	class	confidence	alt_form	alt_body_count	body_count	expansion	sources	notes
MW72	- Kirāt. or Kirātārj.	true_unused	low		0	0	Kirātārjunīya.	mw72pref24.md:92	no_alt_hit
MW72	- inst. or inst. c.	true_unused	low		0	0	Instrumental case.	mw72pref24.md:88	no_alt_hit
MW72	- Cond. or Condit.	true_unused	low		0	0	Conditional.	mw72pref24.md:51	no_alt_hit
MW72	- Armen. or Armn.	true_unused	low		0	0	Armenian or the language of Brittany.	mw72pref24.md:27	no_alt_hit
MW72	- Vārt. or Vārtt.	true_unused	low		0	0	Vārtika.	mw72pref24.md:160	no_alt_hit
MW72	- abl. or abl. c.	true_unused	low		0	0	ablative case.	mw72pref24.md:15	no_alt_hit
MW72	- acc. or acc. c.	true_unused	low		0	0	accusative case.	mw72pref24.md:16	no_alt_hit
MW72	- dat. or dat. c.	true_unused	low		0	0	dative case.	mw72pref24.md:53	no_alt_hit
MW72	- gen. or gen. c.	true_unused	low		0	0	genitive case.	mw72pref24.md:71	no_alt_hit
MW72	- loc. or loc. c.	true_unused	low		0	0	locative case.	mw72pref24.md:97	no_alt_hit
MW72	- voc. or voc. c.	true_unused	low		0	0	vocative case.	mw72pref24.md:163	no_alt_hit
MW72	- Boh. or Bohem.	true_unused	low		0	0	Bohemian.	mw72pref24.md:34	no_alt_hit
MW72	- Inf. or Infin.	true_unused	low		0	0	Infinitive mood.	mw72pref24.md:87	no_alt_hit
MW72	- compar. degree	true_unused	low		0	0	comparative degree.	mw72pref24.md:50	no_alt_hit
MW72	- Vājasaneyi-s.	ortho	low		0	0	Vājasaneyi-saṃhitā.	mw72pref24.md:159	j_series_no_confirmed_body_alt
MW72	- comp., compd.	true_unused	low		0	0	compound, compounds.	mw72pref24.md:48	no_alt_hit
MW72	- Bhāgavata-P.	true_unused	low		0	0	Bhāgavata-Purāṇa, Burnouf's edition, or Bombay edition for the later books.	mw72pref24.md:32	no_alt_hit
MW72	- Cambro-Brit.	true_unused	low		0	0	the language of Wales.	mw72pref24.md:40	no_alt_hit
MW72	- Nom. or nom.	true_unused	low		0	0	Nominative case.	mw72pref24.md:111	no_alt_hit
MW72	- Osc. or Osk.	true_unused	low		0	0	Oscan or verb.	mw72pref24.md:114	no_alt_hit
MW72	- ed. or edit.	true_unused	low		0	0	edition.	mw72pref24.md:59	no_alt_hit
MW72	- Vishṇu-Pur.	true_unused	low		0	0	Vishṇu-Purāṇa.	mw72pref24.md:162	no_alt_hit
MW72	- m. or masc.	true_unused	low		0	0	masculine gender.	mw72pref24.md:99	no_alt_hit
MW72	- n. or neut.	true_unused	low		0	0	neuter gender.	mw72pref24.md:107	no_alt_hit
MW72	- Angl. Sax.	spacing	high	Angl. Sax.	310	0	Anglo-Saxon.	mw72pref24.md:22	alt='Angl. Sax.' body_n=310
MW72	- Atharva-v.	true_unused	low		0	0	Atharva-veda, edited by Roth and Whitney.	mw72pref24.md:31	no_alt_hit
MW72	- Ep. or ep.	true_unused	low		0	0	Epic, i.e. as works at the Mahā-bhārata, Rāmāyaṇa, &c.	mw72pref24.md:62	no_alt_hit
MW72	- col. cols.	true_unused	low		0	0	column, columns.	mw72pref24.md:46	no_alt_hit
MW72	- f. or fem.	true_unused	low		0	0	feminine.	mw72pref24.md:67	no_alt_hit
MW72	- ¯ (macron)	true_unused	low		0	0	that a vowel or syllable is long.	mw72pref24.md:168	no_alt_hit
MW72	- Bhaṭṭi-k.	true_unused	low		0	0	Bhaṭṭi-kāvya, Calcutta edition.	mw72pref24.md:33	no_alt_hit
MW72	- Kumāra-s.	true_unused	low		0	0	Kumāra-sambhava.	mw72pref24.md:93	no_alt_hit
MW72	- MS., MSS.	spacing	med	MS., MSS.	1	0	manuscript, manuscripts.	mw72pref24.md:105	alt='MS., MSS.' body_n=1
MW72	- rt., rts.	spacing	med	rt., rts.	1	0	root, roots.	mw72pref24.md:139	alt='rt., rts.' body_n=1
MW72	- Mahā-bh.	true_unused	low		0	0	Mahā-bhārata, Calcutta edition.	mw72pref24.md:100	no_alt_hit
MW72	- Raghu-v.	true_unused	low		0	0	Raghu-vaṃśa.	mw72pref24.md:136	no_alt_hit
MW72	- Sabda-k.	true_unused	low		0	0	Śabda-kalpa-druma.	mw72pref24.md:141	no_alt_hit
MW72	- Intens.	spacing	high	Intens.	545	0	Intensive.	mw72pref24.md:89	alt='Intens.' body_n=545
MW72	- Prākṛit	spacing	high	Prākṛit	9	0	Prākṛit.	mw72pref24.md:130	alt='Prākṛit' body_n=9
MW72	- Sāma-v.	true_unused	low		0	0	Sāma-veda.	mw72pref24.md:143	no_alt_hit
MW72	- accord.	spacing	high	accord.	7	0	according.	mw72pref24.md:17	alt='accord.' body_n=7
MW72	- astrol.	spacing	high	astrol.	7	0	astrology.	mw72pref24.md:29	alt='astrol.' body_n=7
MW72	- astron.	spacing	high	astron.	26	0	astronomy.	mw72pref24.md:30	alt='astron.' body_n=26
MW72	- compar.	spacing	high	compar.	70	0	comparative.	mw72pref24.md:49	alt='compar.' body_n=70
MW72	- defect.	spacing	high	defect.	9	0	defective.	mw72pref24.md:54	alt='defect.' body_n=9
MW72	- explet.	spacing	med	explet.	1	0	expletive.	mw72pref24.md:66	alt='explet.' body_n=1
MW72	- impers.	spacing	med	impers.	2	0	impersonal, i.e. used impersonally.	mw72pref24.md:83	alt='impers.' body_n=2
MW72	- mathem.	spacing	high	mathem.	5	0	mathematics.	mw72pref24.md:101	alt='mathem.' body_n=5
MW72	- nom. c.	spacing	high	nom. c.	9	0	nominative case.	mw72pref24.md:112	alt='nom. c.' body_n=9
MW72	- patron.	spacing	high	patron.	6	0	patronymic.	mw72pref24.md:121	alt='patron.' body_n=6
MW72	- pronom.	spacing	high	pronom.	40	0	pronominal.	mw72pref24.md:133	alt='pronom.' body_n=40
MW72	- superl.	spacing	high	superl.	82	0	superlative degree.	mw72pref24.md:153	alt='superl.' body_n=82
MW72	- Adi-p.	true_unused	low		0	0	Ādi-parvan of the Mahā-bhārata.	mw72pref24.md:18	no_alt_hit
MW72	- Armen.	spacing	high	Armen.	8	0	Armenian.	mw72pref24.md:28	alt='Armen.' body_n=8
MW72	- Buddh.	spacing	med	Buddh.	2	0	Buddhist.	mw72pref24.md:38	alt='Buddh.' body_n=2
MW72	- Class.	spacing	high	Class.	43	0	Classical.	mw72pref24.md:45	alt='Class.' body_n=43
MW72	- Desid.	spacing	high	Desid.	719	0	Desiderative.	mw72pref24.md:55	alt='Desid.' body_n=719
MW72	- Ionic.	spacing	med	Ionic.	1	0	Ionic.	mw72pref24.md:90	alt='Ionic.' body_n=1
MW72	- Naigh.	spacing	high	Naigh.	267	0	Naighaṇṭuka.	mw72pref24.md:108	alt='Naigh.' body_n=267
MW72	- Pruss.	spacing	high	Pruss.	20	0	Prussian.	mw72pref24.md:134	alt='Pruss.' body_n=20
MW72	- Rig-v.	true_unused	low		0	0	Rig-veda.	mw72pref24.md:138	no_alt_hit
MW72	- Sabin.	spacing	med	Sabin.	4	0	Sabine or Sabellian (old Italic dialect).	mw72pref24.md:142	alt='Sabin.' body_n=4
