old	new	class	alt_body_count	replacements	files	notes	source_key
Âçv. Gṛhj. Pariç.	Âśv. Gṛhy. Pariś.	ortho	7	3	pwpref03.en.md:1; pwpref03.md:1; pwpref03.ru.md:1	source_key='Âçv. Gṛhj. Pariç.'	Âçv. Gṛhj. Pariç.
Bhar. Nâṭjaç.	Bhar. Nâṭyaś.	ortho	43	3	pwpref03.en.md:1; pwpref03.md:1; pwpref03.ru.md:1	source_key='Bhar. Nâṭjaç.'	Bhar. Nâṭjaç.
Çâṅkh. Gṛhj.	Śâṅkh. Gṛhy.	ortho	172	3	pwpref03.en.md:1; pwpref03.md:1; pwpref03.ru.md:1	source_key='Çâṅkh. Gṛhj.'	Çâṅkh. Gṛhj.
Mahâvîraḱ.	Mahâvîrac.	ortho	277	3	pwpref04.en.md:1; pwpref04.md:1; pwpref04.ru.md:1	source_key='Mahâvîraḱ.'	Mahâvîraḱ.
Âçv. Gṛhj.	Âśv. Gṛhy.	ortho	131	3	pwpref03.en.md:1; pwpref03.md:1; pwpref03.ru.md:1	source_key='Âçv. Gṛhj.'	Âçv. Gṛhj.
Bhoǵa-Pr.	Bhoja-Pr.	ortho	29	3	pwpref03.en.md:1; pwpref03.md:1; pwpref03.ru.md:1	source_key='Bhoǵa-Pr.'	Bhoǵa-Pr.
Kâtj. Çr.	Kâty. Śr.	ortho	795	3	pwpref04.en.md:1; pwpref04.md:1; pwpref04.ru.md:1	source_key='Kâtj. Çr.'	Kâtj. Çr.
Ḱhandom.	Chandom.	ortho	4	3	pwpref04.en.md:1; pwpref04.md:1; pwpref04.ru.md:1	source_key='Ḱhandom.'	Ḱhandom.
Uǵǵval.	Ujjval.	ortho	21	3	pwpref05.en.md:1; pwpref05.md:1; pwpref05.ru.md:1	source_key='Uǵǵval.'	Uǵǵval.
Ḱaurap.	Caurap.	ortho	41	3	pwpref04.en.md:1; pwpref04.md:1; pwpref04.ru.md:1	source_key='Ḱaurap.'	Ḱaurap.
Mṛḱḱh.	Mṛcch.	ortho	246	3	pwpref04.en.md:1; pwpref04.md:1; pwpref04.ru.md:1	source_key='Mṛḱḱh.'	Mṛḱḱh.
