old	new	class	alt_body_count	replacements	files	notes	source_key
Tib. Lebensb. Çâkj.	Tib. Lebensb. Śâky.	ortho	1	3	pwgpref10.en.md:1; pwgpref10.md:1; pwgpref10.ru.md:1	source_key='Tib. Lebensb. Çâkj.'	Tib. Lebensb. Çâkj.
Çâńkh. Gṛhj.	Śâńkh. Gṛhy.	ortho	897	3	pwgpref08.en.md:1; pwgpref08.md:1; pwgpref08.ru.md:1	source_key='Çâńkh. Gṛhj.'	Çâńkh. Gṛhj.
ʼUtt. Râmaḱ.	Utt. Râmac.	ocr_key	4	3	pwgpref10.en.md:1; pwgpref10.md:1; pwgpref10.ru.md:1	surface_of='Utt. Râmaḱ.'	ʼUtt. Râmaḱ.
ʼVjavahârat.	Vyavahârat.	ocr_key	42	3	pwgpref11.en.md:1; pwgpref11.md:1; pwgpref11.ru.md:1	surface_of='Vjavahârat.'	ʼVjavahârat.
Pat. Jogâç.	Pat. Yogâś.	ortho	1	3	pwgpref10.en.md:1; pwgpref10.md:1; pwgpref10.ru.md:1	source_key='Pat. Jogâç.'	Pat. Jogâç.
Pravarâdhj.	Pravarâdhy.	ortho	444	3	pwgpref10.en.md:1; pwgpref10.md:1; pwgpref10.ru.md:1	source_key='Pravar. oder Pravarâdhj.'	Pravar. oder Pravarâdhj.
\*Kâvja-Pr.	Kâvya-Pr.	ocr_key	15	3	pwgpref09.en.md:1; pwgpref09.md:1; pwgpref09.ru.md:1	surface_of='Kâvja-Pr.'	\Kâvja-Pr.
Teǵov. Up.	Tejov. Up.	ortho	2	3	pwgpref10.en.md:1; pwgpref10.md:1; pwgpref10.ru.md:1	source_key='Teǵov. Up.'	Teǵov. Up.
Âçv. Gṛhj.	Âśv. Gṛhy.	ortho	1751	3	pwgpref07.en.md:1; pwgpref07.md:1; pwgpref07.ru.md:1	source_key='Âçv. Gṛhj.'	Âçv. Gṛhj.
Javaneçv.	Yavaneśv.	ortho	7	3	pwgpref09.en.md:1; pwgpref09.md:1; pwgpref09.ru.md:1	source_key='Javaneçv.'	Javaneçv.
Kâtj. Çr.	Kâty. Śr.	ortho	8694	3	pwgpref09.en.md:1; pwgpref09.md:1; pwgpref09.ru.md:1	source_key='Kâtj. Çr.'	Kâtj. Çr.
ʼNjâja-S.	Nyâya-S.	ocr_key	24	3	pwgpref10.en.md:1; pwgpref10.md:1; pwgpref10.ru.md:1	surface_of='Njâja-S.'	ʼNjâja-S.
ʼVivâdaḱ.	Vivâdac.	ocr_key	47	3	pwgpref11.en.md:1; pwgpref11.md:1; pwgpref11.ru.md:1	surface_of='Vivâdaḱ.'	ʼVivâdaḱ.
Laghuǵ.	Laghuj.	ortho	242	3	pwgpref09.en.md:1; pwgpref09.md:1; pwgpref09.ru.md:1	source_key='Laghuǵ.'	Laghuǵ.
Prâtiç.	Prâtiś.	ortho	11	6	pwgpref10.en.md:2; pwgpref10.md:2; pwgpref10.ru.md:2	source_key='Prât. oder Prâtiç.'	Prât. oder Prâtiç.
